Date,Arc,Section,Movement,Implement,Sets,Reps,Weight,Journal Note,Workout Note
4/10/2026,Controlled Power,🟧 SUPERSET A,KB Swing Clean Press,Kettlebell,3,8 / arm,36 lbs,Body still sore from 50 chin-ups the day prior. Felt it in the arms and lats throughout.,"Solid 34-minute session given the circumstances. Coming in sore from 50 chin-ups the previous day affected output, particularly on the pullovers. Right shoulder showing signs of impingement — localized above the rear shoulder blade, near the top of the lat/infraspinatus area. Worth monitoring closely. Pullovers under load with a compromised shoulder are a high-risk movement — if the impingement persists into the next session, that movement should be substituted until resolved. The gorilla rows and single-leg deadlifts at 70lbs are strong numbers. Macebell 360s at 12 reps each way per arm is good shoulder mobility volume.
Flag: Right shoulder impingement symptom noted. Monitor next session. Avoid loaded overhead or extreme stretch positions if it persists."
,,🟧 SUPERSET A,Slamball Over-Shoulder Deadlift,Slamball,3,8 total,60 lbs,No rest between this and KB Clean Press.,
,,🟧 SUPERSET B,Gorilla Row,Kettlebell,3,8 / arm,70 lbs,—,
,,🟧 SUPERSET B,Macebell 360s,Macebell,3,12 / arm / direction (24 total),12 lbs,No rest between this and Gorilla Row.,
,,🟧 SUPERSET C,Single-Leg Deadlift,Kettlebell,3,8 / leg,70 lbs,—,
,,🟧 SUPERSET C,Bench-Supported Slamball Pullover,Slamball,3,8,30 lbs,Really struggled here. Pre-existing DOMS plus right shoulder issue made this uncomfortable.,
4/13/2026,Controlled Power,WARM-UP,Inchworm Push-Ups,Bodyweight,1,—,BW,Listening to body today. Modified session based on feel.,"Listened to body. Two solid supersets before shoulder shut it down. Left rear shoulder (rotator cuff/upper lat) issue second consecutive session. Right ankle tenderness first noted today. No pulling, overhead, or loaded stretch until shoulder clears."
,,🟧 SUPERSET A,KB Swing Clean Press + Windmill,Kettlebell,4,6/arm,36 lbs,Left back tight and stiff during windmill. Shoulder soreness throughout.,
,,🟧 SUPERSET A,Slamball Over-Shoulder Deadlift,Slamball,4,8 total,60 lbs,—,
,,🟧 SUPERSET B,Slamball Offset Squat (alt shoulders),Slamball,3,12 total (6/shoulder),60 lbs,Slant board. Full depth hamstrings to calves. Offset load for balance.,
,,🟧 SUPERSET B,Macebell 360s,Macebell,3,10/direction,15 lbs,—,
,,ATTEMPTED/ABANDONED,Pull-Ups (Fat Bar) + Toe Touch Push-Ups,Bodyweight,—,—,BW,Left shoulder rear rotator cuff/lat area too painful. Right ankle tender.,
4/14/2026,"Controlled Power        
Functional Strength Training",FLOW / WARM-UP,Macebell 360s,Macebell,1,10/direction,12 lbs,Opening flow. Short on time today.,"Short on time but got it done in two sessions. AM flow session kept it shoulder-friendly and mobility focused. Evening session was the standout — 5x10 hex bar at 135lbs feeling strong and loose, followed by 97lb KB swings which is a serious load. Energy and strength clearly up from the last two days. Shoulder held up with the lighter windmill work. No flags today. Split session approach may be a useful tool on busy days."
,,FLOW / WARM-UP,Hammer KB Clean Press + Windmill,Kettlebell,1,8/side,15 lbs,Light and controlled. Shoulder-friendly version.,
,,🟧 SUPERSET A,Slamball Back Circles,Slamball,2,5/direction,30 lbs,"Standing straddle. Hinge over left leg, roll to right, extend into hyperextension, return. Novel movement. Good spinal mobility demand.",
,,🟧 SUPERSET A,Seated Good Mornings,Barbell,2,10,60 lbs,Superset with back circles. Posterior chain + spinal erector focus.,
